Tran Date,CHQNO,PARTICULARS,DR,CR,BAL,SOL
12-08-2016,-,ATM-CASH-AXIS/CWDC10408/2651/120816/PUNE,900, ,24130.99,315
12-08-2016,-,POS/MY PHARMA MEDICAL/PUNE/120816/21:54,500, ,23630.99,315
13-08-2016,-,ECOM PUR/Book My Show/Mumbai/130816/13:37,692.8, ,22938.19,315
13-08-2016,-,POS/TAJ PUNE -Coffee/PUNE/130816/16:15,5665, ,17273.19,315
15-08-2016,-,ATM-CASH-AXIS/CWAW10406/2784/140816/PUNE,900, ,16373.19,315
17-08-2016,-,ATM-CASH-AXIS/BPCN189401/2307/170816/PUNE,1000, ,15373.19,315
18-08-2016,-,POS/SAIRAM ENTERPRISE/PUNE/180816/23:16,500, ,14873.19,315
22-08-2016,-,ECOM PUR/Flipkart APIN/Chennai/220816/07:38,999, ,13874.19,315
22-08-2016,-,ECOM PUR/Flipkart APIN/Chennai/220816/07:42,999, ,12875.19,315
23-08-2016,-,INB/IFT/DEEPAK PANDE/TPARTY TRANSFER, ,6000,18875.19,327
23-08-2016,-,FLIPKART REFUND/623540000206/DT.22082016, ,999,19874.19,100
25-08-2016,-,POS/THE K FACTORY/PUNE/250816/20:18,528, ,19346.19,315
27-08-2016,-,POS/SAIRAM ENTERPRISE/PUNE/270816/15:41,2150.14, ,17196.05,315
29-08-2016,-,ECOM PUR/Flipkart APIN/Chennai/290816/20:05,649, ,16547.05,315
30-08-2016,-,AXISDIRECT/Y986907/30-08-2016/05:08,1004.79, ,15542.26,315
30-08-2016,-,FLIPKART REFUND/624230003546/DT.29082016, ,649,16191.26,100
31-08-2016,-,NEFT/CITIN16682950535/ADP INDIA PRIVATE LIMITED/ME, ,37320,53511.26,248
05-09-2016,-,ECOM PUR/Jubilant Food/Noida/050916/20:35,460, ,53051.26,315
07-09-2016,-,ATM-CASH/WAKAD/PUNE/070916,1000, ,52051.26,315
07-09-2016,-,AXISDIRECT/Z143129/07-09-2016/10:09,2500, ,49551.26,315
07-09-2016,-,AXISDIRECT/Z161349/07-09-2016/06:09,8243, ,41308.26,315
09-09-2016,486642,BRN-CLG-CHQ PAID TO MAHARASHTRA NATURAL GAS L,6000, ,35308.26,2567
12-09-2016,-,ATM-CASH/IDBI VARAD LAXMI P/PUNE/120916,1000, ,34308.26,315
15-09-2016,-,ATM-CASH-AXIS/TPAN18931/2150/150916/PUNE,1000, ,33308.26,315
19-09-2016,-,POS/SWARNAA VEG RESTA/PUNE/180916/12:37,1331, ,31977.26,315
19-09-2016,-,ECOM PUR/BHARTI AIRTEL/MUMBAI/180916/14:14,500, ,31477.26,315
19-09-2016,-,POS/BANJARA HILLS/PUNE/180916/23:29,1616, ,29861.26,315
21-09-2016,-,ATM-CASH-AXIS/TPAN18931/3544/210916/PUNE,600, ,29261.26,315
26-09-2016,-,POS/SHINDE PETROLEUM/PUNE/260916/19:37,2500, ,26761.26,315
27-09-2016,-,PCLR/DEV01C397468/27-09-2016 21:51:18/STP,14696, ,12065.26,315
30-09-2016,-,ECOM PUR/www.airtel.in/Mumbai/300916/10:46,289, ,11776.26,315
30-09-2016,-,NEFT/CITIN16693108183/ADP INDIA PRIVATE LIMITED/ME, ,37320,49096.26,2
30-09-2016,-,POS/MEDPLUS OPTIVAL -/PUNE/300916/13:26,408, ,48688.26,315
30-09-2016,-,912010041956734:Int.Pd:26-06-2016 to 30-09-2016, ,580,49268.26,315
03-10-2016,-,NEFT/DEUTN16277661131/SANCHIT DEEPAK PANDE, ,50000,99268.26,248
07-10-2016,-,AXISDIRECT/Z832428/07-10-2016/10:10,2500, ,96768.26,315
07-10-2016,-,ECOM PUR/MSRTC/MUMBAI/071016/11:47,899.67, ,95868.59,315
